title,source,time,link,snippet
,,昨天,https://news.google.com/read/CBMilgNBVV95cUxPUmJkcHBfeHhhVEN2Wnp5aXlIanZua2xmc3p0aGlQX0RoMF9ZMDVKdlpkTHNuR2V2S2xOTDVGeWswdFc4UHRNSm5YeVhtQk5WeTZoMUl4NFhaREpWa1c4SjVKaEJsRzhzT2d2WGlLOFZhSzRob3o0RWxrUmhIX29tc25valRnMDhMZzZJVDBnZVNudzNUcWVSODdyMVJpWmRSaEhuejU1aGNUWnhYX3pJU0VUOFozZm9sWFo4dS1rN3poa0lQNFAtNlg3SjlhNDQ4Z2g4YnNFdWhpVUpWSGFGRkg3bEdUZFZBRjdKTUE4NlVZQUdFdHB1UHZfN3ozcm41ckl1OWNGOEY0bVA5RktlNS1ENFhpbGVxS2RvZ2JYZTFYTHh4OXpqblRtSnVZbkk4YnA1Q3BTQkhxUXBQY2lGMGRiMmljeHdHT0ZaeFk1UzF1Nk84S0lPbFhPWmJhWVNiNl9TOUJvems0clhDazNkS2c4RmhFbVl4cnpkQWUyX2xyaXhSdGpSc3JYUy04UUpOb1lIeDVn?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,
,,昨天,https://news.google.com/read/CBMiT0FVX3lxTE5acTFqT0h1RFEzc0pia1FuWXpzX1VsS2dfdzlTcGxfbnZodFpsaEJVT3hyU2trRHZMa2stNEJQdWktZVBjUV9WMlJlcEcwRVU?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,
,,8 小時前,https://news.google.com/read/CBMilgZBVV95cUxPR1NwZ0JzT1QxQjMxN3NDY0RmaXczdzdkU3lRQ0prZE03ZlZkR1hJdWpVOVhBV0h0aXE5a1E1U25GUnNRd3VHWlVaYlQ0eFRINTNLbmV5RFEtaUpwR0cxbmVMMU9sMzk4TXFBWlZNVFR4TGZQemk3Rjd1alVoWlZ0WFJFNnQ1MzdLNnNvd1FKRzVncHpCbVJNYmNXOXFoVHp4NGlhTExBbC1FeFRKOXRfSVB1NFl6cHpSUFhILU1DV2NJcFJESU1QTkg3MkhyZ2lnYWEySHp0TUVtTXFPNFo5VVhrVzAxVjRQOXk0OENsak12S1hXdlNvdTJ3cXFCWGwxRU5seHpCR3RZWXNsN3pVOHZIYUNaWk5hOU5ZWTZxLXhLUVRBTjlMVGlTT0hSX1RxMEw0SW0xSkNmakV3bUJTc0ZqVW1OVXEzRGplZ18tdnNneDdwd0h3THRQM09WMThpaDMtRHMwMXd6dGM1NHo3a0pseVJWcjlqc1I1aFFJUWlTODYtYmpVT0ZRWVltakV2U2F3dW1HOWNJM0NySHhzSWVvbVpPNGlndHFHU1ZKT3lmNWl3NnV0V3R1NmZlb2V4YlZrTy1Kb1dnUEtJNGlWQ2tzbkFzbXN1UDBpT1ZNemtBUjNfdlRhVXlnWk1PcVY2Zm9ZMng5dG9OcFlrdVlVMVlfY2dZclA4OWJ0ZDU0VjJqVXVkTFJORGdjNkhoOTVERGpSN1Y1Y1cxVWxaU1pRYlh3V1k1bmV6VkMxSXdxdTVRMW85T1RQNzNfOExzUV9obHpGeGNoYXRNTDc1aDRhTUFvaWJTeC0xTnY3NDhrS3dBTDdfemt2aVoxRldhaHJiMkxNa3BjRU5mSDh4Rk83Zzd5d2lOa01RaldWRjB3cEJFTXc5VkJxMHV5bjJMRGNSVnBJdnEyVVR4T2JsbkdnOTVMeGJnSms2bkpDNGtNdThEM1JOQm9iMzd6RnRoZ1ZjLUkxVFJ1ZkREZ3JjUHp0aDFFMDBEUHVPUEwzOUtsZXZpN2JYSFl5c0xkdENFOGsxcWh5OXBR?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,
,,22 分鐘前,https://news.google.com/read/CBMihwFBVV95cUxNQlo4SVRITl9IcmJpbjhRNk80OEwtcUhRWWl6bUgzZlo5SzFiMVVIWElMaUhCem9RUlN6bHpWaDVXbTBjNmZYTG1MOHQwNFhDb3NCcVdCZkYwUWVwa09vRUM4ZjdhRzhsd2RZMmZGdHJoaktzSzZnNlVvV3VwSlVkRFNPYXFMZFk?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,
,,3 小時前,https://news.google.com/read/CBMiQkFVX3lxTE04WnFTYlQ3cDdpTmxzQTRmMk9TcWF6dUhRN3ZiTWhNbWEwc0lmXzdHTDdKaExxdXZGZ1E0R29TSGV4Zw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,
,,2 小時前,https://news.google.com/read/CBMilAFBVV95cUxPdmZaZk1RQ3kzSVdnRjE0ME91b2hMRVUtbTRhZmlNVWQyX3JITDJxa0dpUXJNQUIxUV9ERlEwT2sxbm01S1ZDNUdzN2VYZmpwWGF0dHJIN0p2RGxZMEpqZm54dzBqX0RPRFp4aDBDMUlCd3lUV1o2Q0p3YzgtaHNVUHd5SzNFM25PREttYTE2UjNsTDly?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,
,,4 小時前,https://news.google.com/read/CBMiS0FVX3lxTE1fTjNEMHpDV1l4UmEzOFQyYnBEWHBhSWxndWh4ejFWWEtZNTEwNHdxdVBEb2l1SnRialpUbnZNTEdVcWxzZHJ2T0pKVQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,
,,15 小時前,https://news.google.com/read/CBMi7AFBVV95cUxPMEJESWtLTWxfbTBMQUNvRVgwWFBPczNZc20zc3lEY2dmeE1vandJV1ZjUUxpTVFVR0w1VFlXV3hUR19aQVFmZ3UtUF9ON1lzeHp2TTFKanhVMWc0Sm5uSENGNzNCYUU3Y0RaMWxncG5kNWhtYzNZNHdUYTJrbWtvVjh0UEFxWW9jSWFSbEt6VmREcjhhZnRueE11RlJqVnNvX3BTQW5wTlVmdkxjOXFQLWpmRnppTE9NM0xydzZXMzl4NmduR05tNnU1b1E3NHVXalJOQ0lLazJ5MmpVMjVENVRacVZDMzFPOXlkbg?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,
,,3 天前,https://news.google.com/read/CBMif0FVX3lxTFBVN3E3UzRTU1B1Z3J1VDRzOW1JWndNenFsQVdQcFlmQzIwRkVPdTE2YUc4NV9fcy1tTVJuN0t2SXlTMHZqWklCVlBUY2J2UHdTSmVKV3lEQkg2TmZwY0FLSFI1enppV1MwSkN5cnlZUEQwdHVkTWtqemJieHRvWjg?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,
,,8 小時前,https://news.google.com/read/CBMiT0FVX3lxTE9FYVQ0RVZGY3VNQllIVC1wM3BRdXRhdFRaMTlkN2RyejBFVE9EOUZkRHcxNlpycXVGRUg3dXV2RThJeHVfRW9jQ205TXBuYlU?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,
,,2 小時前,https://news.google.com/read/CBMiWkFVX3lxTFBXZHJtQlBWeTlJOEk4WmtiYzB4UDlkTFFmLTlVQ1d5ZlQ5WGg1MzZudlNsVllVQU9FaTJuLWczQ09KVmJ6a2pqNUhITGlmSE5qanRxbkxrdjdId9IBX0FVX3lxTE1CMnM4RkZXVE1WdTIzcGl2UzhvQVg4TjFxQ2lxSmxWbWN3QlBaRUQ1eFo5Mm5wMnNIT1FNWHFiNlA1MG9fdVhJb2hXYWNnd3kwaXh1cHNtbmpjRHBTUUo0?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,
,,4 小時前,https://news.google.com/read/CBMiX0FVX3lxTE0yVXJVUGstT0Y1ZFBtV3ZVUzJXWkJ1anN4eGVhWFU4bU9uM2ZLMXhhcGZTME1tUXNwWThhNmJGcUJGQU5FQUVOU2I3MkRJUkJkYm5MTWdsMFFYQUVVT01J?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,
,,2 天前,https://news.google.com/read/CBMi8wNBVV95cUxObXdRZk9ULXJ4bnN0Qk9VZDM0d1RFQUY0TVYtVEpMV213dlhsd2N1TThKNm9iaGtBLU92SFY0NnhJVGdWRUtQSjVZRGxPZndIY3pBR3NkSDR6ODJXTWZyUkk5Y1Z5MFRGV3JKSG5CcVhRTmZnd3dfYV9jbk45LW1ucEZaUXEyZmF0dW91LVFxZDZTTFZwT2R1bTQwU2dISVRPMDJkOGJaMTRrWmEzVm5BUVJXeElnbVFQQmhHSXFTdjBkT0tEaUJmbWdfaUNrX2xNZ0lhUk1NbXRWTVo1SHNIX25uZUFITkJrUy1tbTdWRUlBdmVMb2t1Z09FejRTTHJxUE01V1ZnUG44NmVUWGlCOFhsVTdhcjc5RkRjalFlNzZyZkUxUUgweU1jbVV4ZjBIWlZBUWY3YjJFc0VGUlhka0dsaW8yVjZwVjVhUnZWM3NqY0FkUzU3dmRQaVJMbV9YUVdxeTNiRzVEdHVYcmpvZkRpWHFjbXl2ckN5dll2VVQxUkpUT3p3ODhxUmd5U3d1aHpoY2p6anZISlNrN0ZEa2JSaThvZXN3WnlyckVLSGlWWjE5ZTBoZG80VW1SZ0tjSHlqQXg3QlcyaEhnVGRhMlJEZXJ5YVNfNTRwNVhLYTJpdk54MmxMbDBOdC1Jd3JNeDlz?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,
,,5 小時前,https://news.google.com/read/CBMimwFBVV95cUxNRzZGelFhVlNjaFpuNFJtM3lSdENiRVlfejZHX1FDRWNCVHUyWEM2U0VhTmdKcVJsNDd3MTJ4V2tONlJSUlJ0ajFyMm9fODNZZ2dQQml1S2h3ZWhSdWlDeUIzbDdJVG4tRE5seFRhaHpPRTJGdHRid1pBelJpWG8tdUdLRkhmdUd3NlpKQU9zOWNUd1Z0amd4YkdlMA?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,
,,5 小時前,https://news.google.com/read/CBMiS0FVX3lxTE5RVTJMWFNWNGpNVEN4ejBPTkNQY3ZUSUxSalpPN3JsYlZaUXZjVVhsajJ3RUVDQk40V0d6cHRHQVBVOGFFU0NaVzF1OA?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,
,,7 小時前,https://news.google.com/read/CBMilAFBVV95cUxPb3R6SG9HcFpmTlVkQVVZZ0NTWXFncXJNVm5ROWs5eEo1Wm1SdDVnZWlOWlRDYjNwSUJ0dlR5ZjkwN3RiekxIYzhTTjZ0VzI3ZHJJRUNwNllOaVJfNk1LS3d1cGtYMkd4S2lTVHFhdENTemdnWGxCVzZ5T0Zpc2s0RjRZWDFtQzVhR29TUS1rd2FsUTNW?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,
,,3 小時前,https://news.google.com/read/CBMi7wJBVV95cUxOMDR1REJtZTB2OEU0MXAzY0lMQnRzNlFDVVMwM1Izd1N3ZzJDZ05SSnRfTkROb1VHVTAtVHUxTUZ6M1BNVHMwNlhCc1dxWlNNaVA3MUhsbDgxR3I5T050d3ZfQl9LV2tYSlNacXNLVzg1Y1QtVmNzYnBybVltYXFsMUtPNVl3cm9MN3Bwak5BUGlYWExVY1pQRWQ1OW96ZDA5T1ZjOWIxQnpScEExSFRHZFhNeE05WnBiNFpINm9PM21MYjA3RmwySUxnY2pHUjdHWWEwQXVISEJSRWk0SE4wQXRXU08tZ3FHMjQzY09nNEZKWWtiNG9mN2N0cFNJX2djMmVMUm0zZG43YXNzWEJQSHpKeUwyYUNNRVBMOVIxMHI5cEtIeVVxUjNPUGpRQTVnRlRMLWtBalRGeUdhTTNyTzAxQXJjTmtqcDdSdW91WU9mZXFSVkxubE9QUWk2bHhnVDVyTXcyNWVyQVRDdnZn?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,
,,2 天前,https://news.google.com/read/CBMi7wNBVV95cUxQeXotNGRGSHNJeWRGTENnNExrMG4wcFJ6VGNwR04zOTRrWWl5YjFBR2w2Y25FbG1lbVdNRlF5ZGpLVGwxMkZhYktEekl5WXNPZXZmREZXVDk0S3JXNUJSN2hnNlY1WEZMd3dQVWxjZmJ1bDRWdkRrSEMyQUlMUmQwQTB0MnRRYk5hZGlEOElTdHhTRHlsNGJTT2t1d0ZyUjBUaWN6LTAzVkUwSnNyU1ozUFlILWVBLWdpNlpUZHdKZUNzbHVtZTZNTmNZZERYTHdQMTdJb043dmZ6SDBlcW45ME45OTRKcDlJajRnRXhxLTlVUUllTGRTR0tiZk90WVBVUGNCR0dBOGFtMElNNm9hb19yTXBETmp3STJBeGpkdklnVzR3TFowRU9TMktDWmFCcmNsWk5fSE1MNkJZZTI1eVRzTDlDc0ZiRGZMWVcwdEpSX1owdDRGV3oxUUNxb09lUU4tUElLVFRqeTNlQnNwX2ZYYk5FREJ4NTFBN1lsUDRYVWw5cFVxaVU1YjdIS2ZWWmFPbXVDOGx2RWtkMlhnR0RRVklDOS1ZSi1weFY3dExha0hHZzlYRmxKaUM5SVBpTTFFT3d5a0NUa1RqVTBmRHp0c0N1a3ItYllfbUNuN1hKQmJxOTFQZjhjTFhTd00?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,
,,2 天前,https://news.google.com/read/CBMimANBVV95cUxNU0JHWXVhckNYTjdxVHJUUkhWYkJlZE5HZVRwcWZGNWRIVXVVREdrUWx0NWx6N2F6a2FJVVlwSTQ0a2RicW1uc19XVk9hdmR6SjJzRHgwaEFxSm9aSF9BSTFYczZMTDNaeHY2NHdFZVctUVZnOFdwamFYYzJwdmdsckF5T0RTQjdVamw5Q2RhUjJpVEYxWnVWN24yUmhwR3F1RUVWODhIakdudDBITzA5UVJKQ3FBMkRQdHFlNmVEd3VZMUNqWlZzaDZ3Q0IxbldDdl9EanhxMTZDVm1xLXpudjVyVXBqWV9yT1h2VFdmRHlnbGdTMUlVQUN0bHh3N1hrdGwweFlVZjA4OElVTnh2QTJSWHVHaHllZ0x2ZFhlQk9jTWdPcjF0akM2MHU3anhwdENqOG5iaTlEZE5tRHBhSnpKc1NWdE0weWVDTXdQQUxtUXU0OF9UcUprRV9MbkYxV0RiQjVpU1dxYmYteVlGT3EteFJaWGxfeVpuU212UlhzSmJkS244LWEzald4WDRNY3JaQno2ZGE?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,
,,2 天前,https://news.google.com/read/CBMihANBVV95cUxQTHdJRjhSQ21ub0NldGh6dzdMeUJIMUtuSmh5Z2UyYWF5NFNPeGNLME01TGNHUmJ3UVVfdkNWbGI3aWhya3N0N1pmRTZsbVJsOWZjclNQSVhEd1hLREdmWWlQREFMRW9HQzJCajd6Nmg2WWx5djBnbVpTRGxqNEo0MUpxa0d1TFZvd0wwM2trT1NvUGpzOUZBeVJVWjRjekh1c3NNWEItMmlEX0ZkTzhtRk5LMTZvV0pjMXBFN2Q5NXNtTlNoSm8zckJpM1VoUG5FRUY4TWtiZlkzc3dSTWprQWJTMjVYa0x6Vk5va0pjX1Y1UWRvS2VEZ3FfYTZEZzVUbVhFbVhVeTZ1N2hnTW5vSW5zQzVkdjlJTjdrQ1hsOHV0TmNPalRQZE9QSjdFVWFTSVlpZHFhdElCX2tZWWJtRlExMkVodWpyZXBVWWZISWZMOU9QSk1KVGs0UDdCN3V6WC03blVPZFFQVVhOM09jRGtCTnRZWXdoc2pRTVNDbkVBZF9v?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,
,,6 分鐘前,https://news.google.com/read/CBMiUEFVX3lxTE5EVzJQM2dWYnU5cXB1T2k1blp0RUp2bWY3cm0wS1lyY3BhM0hGM3FjQTRaaDVWUUI2ZE9xM3FETU9zQk5NV2REN0ZWcnNPSVVU?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,
,,1 小時前,https://news.google.com/read/CBMiX0FVX3lxTE81cVlXeE1Hc1VnT3N5dWFMTjRjdUlrb0RULU0ydGJURnJ5dTItb2UyeWNtWUV2cmR6dEY4eTJ4MWVVU3Q1YTl1dEZkRVd1LXdOeUJTMWJVVFJ3ZEZPRDlJ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,
,,5 天前,https://news.google.com/read/CBMijgNBVV95cUxPTEJZdkNXV0FycnZWSVVNT0hfdG0yU2l1N0htTlRpTHpVekZRZktPZ2xoVFpTVFZXMVlIRGdzSGYtMm0zTU5OZldnSmdWQnhlYms1RUJkTURYTVJBdmJXMGNtVGo3Q0s1bGZLejVsSVBNcE5EMWtNTXMtOTJkR281RmtIVHhhWXRiOUdoVUlOWXYwTGVMMXJFZlZfUUpxczdWMjJuUkxqRlIwdFpOYVR1UjF0LUkwa1lRdnJINmZrR1RWV0RxY3lWM3hoMi1qRU9EOWoxMk9DbHR6Y3o3NVlIbG1oQ3VtRDQ4djA4SUpNQjg0UUhOd3h3TGQ1VlJZQWE2ZmFFRG9CYVgtRWJZUzUxM2E2YnFQOVNEVmxkR2M0Z0dMdmQ2N05aRXNBak9YUzdYZFR2aWF6UDlQZ1FMcHBucEpVR3JvOXpTNGxoTERBbl9MeHM1eGMzYkg4amJQZWMtRmlDck1FaGNqQm1yZndUNndVaXljWm1PQ05xMjVFa1Nubk9iRUFGOWo3bl95dw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,
,,2 天前,https://news.google.com/read/CBMi6AFBVV95cUxPcnltVHRjSFA1WUNhZVlkdlFZOTk0cU9uRWQwVkZndEx4TXNZb3NUZHBqLURfUWxhc3poVWg2anp1Q3lOQVJBQUtBSWFfYnNmUUFwMDZUeVZlMUxCVWFHZWtUNXpNVXJTTm9zQWpfd0lmVkRUVk9CNEwxRW9fRVR3VEV1RXRUek9YenVhZURDZFVTTUVuMUtRT0tFaE5sLVVISExkNFRDTmJoVVNLZU5QV2pPNGZkVEVYdEludnBnMVpBTkFTaTNsZ08yc3EwSzc1cUVqZ1lEdEJqT2w3b3BfbEphQ2ozWHgz?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,
,,16 小時前,https://news.google.com/read/CBMiX0FVX3lxTE40NEdkV3g5N1J2Z0duMDdTT1Q2eEdfaGJFbVRCbHpkWktuRnF2OTFWREJBOE51SGV6OEphem9JZTlrcDFCakN1YzZuWlF2YnFUMzVpZF9NZVJLV1RBQldZ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,
,,13 小時前,https://news.google.com/read/CBMiTkFVX3lxTE5OT25LS0pCelJXZVdpYmpfSEJTV1pnaDdZQ19vTGVnQ3BkY1g5QS1RVkFDb2VQUHVSTlVWb0QyZWV5dGk5SWFvejV1bFZndw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,
,,2 天前,https://news.google.com/read/CBMi_wJBVV95cUxNWHRoY002QXFNN1loR0xfZUpGUzJVR1dQSHUya2hBSWtnZG5rM2hVNC1hVHdxb01GWXJxbWpZUHA4cWg1LTBmY3NYa1BwdGVEYkIxNzNaSnhpNmltQzQ3U1ZPZS1WMnpENzRxZ2o5cy1YN2thWURHS0lEMTg2c0kzeS1NZHJ2ay0wQWY5NVFaMERZX0NLUmRSUWVuRG9tcjY3OWsxYkRHMmUwX1RkZXVTZVlqWVVoZkxmT0NTQ0VfQUtGd1UxZGExcTk4LVdWX3FsYWEzNkVFTU9ocWY1eGE5aEctcUE4bWRMdFUtVTFIQmpwOGhiVmZFTHlMeXIyeEV5eDlnNHgxVnkwbThIOE5mUUJLUmF1YkNFN2lieFJqTGxwVzBlQkhseDh3cFlSY05pVmhnSUdKbWdTTm9kNHpvb19hbUNyVW9rWDFfd3BoWjB3dUYyVG9zZVFHOXZzVU05NFFrZjRad0lwamM5akZrSVZ6Q2N2cFRDVTBJeDhRNA?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,
,,10 小時前,https://news.google.com/read/CBMiUkFVX3lxTE04dk1YLW9xZVczOEV3aUpPVk1hdElldC0xLU1vcVNEa3dYMzBtaWdzTHdRaHB1akxPZnJacC1hOTJRR3RHczFEbTJJbFVQZFNtelE?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,
,,8 小時前,https://news.google.com/read/CBMiwwJBVV95cUxNNWhKdUoyY3JnbmtyNUw1ZmtBM0c1MWZLM0pXejZjbWdBVEc1WmY1QW9BTm43X0RmM094N3pVWGN0Z0pGZ2JFUjIyRFpJZHRQcU1mRml3Zm5mQzJmTFBWSk9IZmRJWnZ0TGc1YVdRTzVCWmtmY3hkaVR6dm01Vm54WkU0ZkVmVXVpYXNLd1RwT3o0SVZEOUt0Q09pWUF4djhIQU5WUjdJa1VmbVdvQUxwYnZTWElUc1RiSnl4TnJZdEl0cGR4bTJjVmMwZ0x6cGJlbUVrR2NON2pabU5FUF9oWWhhOEV3ekdPTExoc3pvTnZMemk1UDdFMS13NVhpcEZwc1BBQWVNOVgtQzZNR2t2V1A0UV9UNEg1ejFXQVlac3Z4VndjWTNpMmpDeVdxRXRLTlBTVG4tZGtoU0hsQjhhYjRJWQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,
,,13 小時前,https://news.google.com/read/CBMilAFBVV95cUxNOWVLT1hyUFZEY2lMQkJSYjI3allXdlJORGFxMW1yN2RlcUFLZndrMURlZ0RoeE5sbTJRaHpCZjhKNEFmaU1uM2xvU2xvckRsTzEydGZWTndQWFluM1REenV6YkszMm1DWE55SU14X2R5YjUxTEtzTFREOWZ1Q0kzTndHbzluRnhMdlpXdkJXZGtkdTRk?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,
,,2 天前,https://news.google.com/read/CBMiqgNBVV95cUxQbDdTX0l4UmlNLWhvSTNLNmlDbm9QeV80QUF5MWJybTRMRGlVU0F0WDU2SERZNUJRUzczNWJqWnAwcFRnRlA4TDY5RFhPa2oyXzVvRGd6c2JfY1NXdVFxVmtUQTVYWFBmcFJfWXlOenhPRXI5eERMNXhZT2prb1ZTOER5c21oamNqcHF6SW1wOVdTbmhDaEZPVDhxQmRmUWRqTFJqUGRlYWpfLWNIUGdKOXoyZVlzOW9jb2R5M3BrbS1JVVFVT01XbW1Lai1HX2dzZE1YU3ljU1M5TWp2UzduYzVXdmxjT2lKeVZfRnlOcFZMX1pMTEJPN1ZIdVZoSjUzNGE0ZTFXSW1LRHh1SC1taFZqQ29xd09aWDYyc3otX3BCd3RXbVFQaEU0TTE2TGFQal9nbTY3cnR0VVZOMUhOTmppZXZKTlMzcWRrSU9QQWZDazhwZVRmQWM0djNUREpCQTBhaV9oQlBkcUVSZ1A0THBSVmQ0VEJUZGZMbUFwcjhsTXdUMnlNTHJDZzJuRjJnZFRCbE5RZ1RrSnZCSDZkV0VBMWw2bWRLT0E?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,
